Timestamp,Protocol,Connection_Type,Local_Address,Local_DNS,Local_Port,Remote_Address,Remote_DNS,Remote_Port,Process_Name,Process_Owner,PID
2024-12-01 10:08:14,"IPv4, TCP, BOOTSTRAP_AGENT_MAIN",SYN-ACK,10.123.173.133,Unknown,41960,10.123.198.159,ldtpsr02z03855.etf.barcapetf.com,12800,bootstrap_agent_main,root,N/A
2024-12-01 10:08:14,"IPv4, TCP, BOOTSTRAP_AGENT_MAIN",ACK,10.123.198.159,ldtpsr02z03855.etf.barcapetf.com,12800,10.123.173.133,Unknown,41960,bootstrap_agent_main,root,N/A
2024-12-01 10:08:14,"IPv4, TCP, BOOTSTRAP_AGENT_MAIN",ACK-PSH,10.123.198.159,ldtpsr02z03855.etf.barcapetf.com,12800,10.123.173.133,Unknown,41960,bootstrap_agent_main,root,N/A
2024-12-01 10:08:14,"IPv4, TCP, BOOTSTRAP_AGENT_MAIN",ACK,10.123.173.133,Unknown,41960,10.123.198.159,ldtpsr02z03855.etf.barcapetf.com,12800,bootstrap_agent_main,root,N/A
2024-12-01 10:08:14,"IPv4, TCP, BOOTSTRAP_AGENT_MAIN",ACK-PSH,10.123.173.133,Unknown,41960,10.123.198.159,ldtpsr02z03855.etf.barcapetf.com,12800,bootstrap_agent_main,root,N/A
2024-12-01 10:08:15,"IPv4, TCP, BOOTSTRAP_AGENT_MAIN",ACK-FIN,10.123.173.133,Unknown,41960,10.123.198.159,ldtpsr02z03855.etf.barcapetf.com,12800,bootstrap_agent_main,root,N/A
2024-12-01 10:08:15,"IPv4, TCP, BOOTSTRAP_AGENT_MAIN",ACK-FIN,10.123.198.159,ldtpsr02z03855.etf.barcapetf.com,12800,10.123.173.133,Unknown,41960,bootstrap_agent_main,root,N/A
2024-12-01 10:08:15,"IPv4, TCP, BOOTSTRAP_AGENT_MAIN",ACK-RST,10.123.198.159,ldtpsr02z03855.etf.barcapetf.com,12800,10.123.173.133,Unknown,41960,bootstrap_agent_main,root,N/A
2024-12-01 10:08:15,"IPv4, TCP, BOOTSTRAP_AGENT_MAIN",RST,10.123.198.159,ldtpsr02z03855.etf.barcapetf.com,12800,10.123.173.133,Unknown,41960,bootstrap_agent_main,root,N/A
2024-12-01 10:08:16,"IPv4, TCP, TANIUMCLIENT",ACK,10.123.198.143,ldtpsr02z03841.etf.barcapetf.com,56658,10.123.198.159,ldtpsr02z03855.etf.barcapetf.com,17472,taniumclient,root,762396
2024-12-01 10:08:16,"IPv4, UDP",OTHER,10.125.189.22,platformntp.etf.barcapetf.com,53,10.123.198.159,ldtpsr02z03855.etf.barcapetf.com,56262,Unknown,Unknown,N/A
